model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,model
r50_static_grl,123,Infiltration,22294,4097,18197,0.58,0.7043739517288273,0.3446953945669927,0.5196485233097389,0.5196485233097389,0.4803514766902612,0.7757322635599274,0.7757322635599274,0.2242677364400725,2129,4081,14116,1968,Static GRL
r50_static_grl,123,Effusion,22294,2553,19741,0.62,0.8762029186702621,0.4926613952143069,0.7081864473168821,0.7081864473168821,0.2918135526831179,0.8623676612127045,0.8623676612127045,0.1376323387872954,1808,2717,17024,745,Static GRL
r50_static_grl,123,Atelectasis,22294,2207,20087,0.69,0.8082647912482379,0.3423324179907753,0.5278658812868147,0.5278658812868147,0.4721341187131853,0.8692686812366207,0.8692686812366207,0.1307313187633793,1165,2626,17461,1042,Static GRL
r50_static_grl,123,Nodule,22294,1280,21014,0.6749999999999999,0.7728700211763587,0.2325967551818156,0.365625,0.365625,0.634375,0.9362805748548588,0.9362805748548588,0.0637194251451413,468,1339,19675,812,Static GRL
r50_static_grl,123,Mass,22294,1076,21218,0.8599999999999999,0.8308478571360994,0.2865775565972105,0.3866171003717472,0.3866171003717472,0.6133828996282528,0.9605523612027524,0.9605523612027524,0.0394476387972476,416,837,20381,660,Static GRL
r50_static_grl,123,Pneumothorax,22294,1020,21274,0.7849999999999999,0.8688469032437643,0.3036498168430289,0.4627450980392157,0.4627450980392157,0.5372549019607843,0.9555795807088464,0.9555795807088464,0.0444204192911535,472,945,20329,548,Static GRL
r50_static_grl,123,Consolidation,22294,951,21343,0.7849999999999999,0.8108113767258359,0.1478846058413322,0.2965299684542586,0.2965299684542586,0.7034700315457413,0.9374970716394134,0.9374970716394134,0.0625029283605866,282,1334,20009,669,Static GRL
r50_static_grl,2026,Infiltration,22294,4097,18197,0.4849999999999999,0.7086337606658363,0.3503202273086646,0.6202099096900171,0.6202099096900171,0.3797900903099829,0.6790679782381711,0.6790679782381711,0.3209320217618289,2541,5840,12357,1556,Static GRL
r50_static_grl,2026,Effusion,22294,2553,19741,0.6599999999999999,0.8753851805082635,0.4972840036598602,0.6447316882099491,0.6447316882099491,0.3552683117900509,0.8907856744845752,0.8907856744845752,0.1092143255154247,1646,2156,17585,907,Static GRL
r50_static_grl,2026,Atelectasis,22294,2207,20087,0.6599999999999999,0.8066319417195823,0.3359798142740049,0.4662437698232895,0.4662437698232895,0.5337562301767105,0.8973465425399512,0.8973465425399512,0.1026534574600488,1029,2062,18025,1178,Static GRL
r50_static_grl,2026,Nodule,22294,1280,21014,0.72,0.7686818720555345,0.2274267338772461,0.3875,0.3875,0.6125,0.9255258399162464,0.9255258399162464,0.0744741600837536,496,1565,19449,784,Static GRL
r50_static_grl,2026,Mass,22294,1076,21218,0.8949999999999999,0.8384542381950375,0.2875661713674251,0.3559479553903346,0.3559479553903346,0.6440520446096655,0.9663021962484682,0.9663021962484682,0.0336978037515317,383,715,20503,693,Static GRL
r50_static_grl,2026,Pneumothorax,22294,1020,21274,0.7599999999999999,0.8628924287586616,0.2769923900808076,0.4715686274509804,0.4715686274509804,0.5284313725490196,0.9470715427282128,0.9470715427282128,0.0529284572717871,481,1126,20148,539,Static GRL
r50_static_grl,2026,Consolidation,22294,951,21343,0.715,0.8096899408701489,0.1477699478638379,0.3480546792849632,0.3480546792849632,0.6519453207150369,0.9237689172093896,0.9237689172093896,0.0762310827906105,331,1627,19716,620,Static GRL
r50_dynamic_grl,42,Infiltration,22294,4097,18197,0.5499999999999999,0.7054937306504547,0.347268944665454,0.4984134732731267,0.4984134732731267,0.5015865267268733,0.7866681321096884,0.7866681321096884,0.2133318678903115,2042,3882,14315,2055,Standard Dynamic GRL
r50_dynamic_grl,42,Effusion,22294,2553,19741,0.7449999999999999,0.8742886756389883,0.4937107431965425,0.6415981198589894,0.6415981198589894,0.3584018801410106,0.8961045539739628,0.8961045539739628,0.1038954460260371,1638,2051,17690,915,Standard Dynamic GRL
r50_dynamic_grl,42,Atelectasis,22294,2207,20087,0.7549999999999999,0.8067671262089657,0.3387369703801505,0.4893520616221115,0.4893520616221115,0.5106479383778886,0.8914720963807438,0.8914720963807438,0.1085279036192562,1080,2180,17907,1127,Standard Dynamic GRL
