model,label,FNR_gap_mean,FPR_gap_mean,Equalized_Odds_gap_mean,AUROC_gap_mean,AUPRC_gap_mean,Worst_group_Recall_mean,Worst_group_AUROC_mean,FNR_gap_std,FPR_gap_std,Equalized_Odds_gap_std,AUROC_gap_std,AUPRC_gap_std,Worst_group_Recall_std,Worst_group_AUROC_std,FNR_gap_n_seeds,FPR_gap_n_seeds,Equalized_Odds_gap_n_seeds,AUROC_gap_n_seeds,AUPRC_gap_n_seeds,Worst_group_Recall_n_seeds,Worst_group_AUROC_n_seeds
Final Dynamic,Infiltration,0.009289605385535167,0.013580854683489,0.015126523460723566,0.0022466230409122667,0.0186416993951842,0.5787104700696977,0.7075669290071541,0.0044604118560681956,0.004650598298039855,0.003250040939354918,0.001894166520388086,0.003891883347637067,0.049506307672203195,0.002902017739445832,3,3,3,3,3,3,3
Final Dynamic,Mass,0.018945112392702867,0.0078228865162835,0.018945112392702832,0.010118073721880734,0.010171287183583467,0.38534278959810875,0.8308324034500779,0.010289059691144053,0.0024852093719557483,0.010289059691144003,0.0009200203618040497,0.011070933587877859,0.04656670355459153,0.002283820103408807,3,3,3,3,3,3,3
Final Dynamic,Nodule,0.030618686868686833,0.004420016856236434,0.0306186868686868,0.0102000691062758,0.019917717543739197,0.3524305555555556,0.7651290762379329,0.004943326945506876,0.002993891426048236,0.0049433269455069,0.010804408293246064,0.003794510019766824,0.03168105484530324,0.011784286260656331,3,3,3,3,3,3,3
Final Dynamic,Pneumothorax,0.05678557105878554,0.0210701629151918,0.0584655026480817,0.024716070346578134,0.0814888081873219,0.4588938714499253,0.8540990081515535,0.030663977812831054,0.004759372399680776,0.027755379611281973,0.00472283183286128,0.015056220154173466,0.08128640233121463,0.005214295528177556,3,3,3,3,3,3,3
Standard Dynamic GRL,Atelectasis,0.05269754166261723,0.019450965248964832,0.0526975416626172,0.002419150247959233,0.03850479014218577,0.4775943396226415,0.8051430984757934,0.006682336602832665,0.010268332519492893,0.006682336602832599,0.0010576506124252182,0.012408760208253536,0.04220643907588036,0.0011114648339110586,3,3,3,3,3,3,3
Standard Dynamic GRL,Consolidation,0.0886733412881895,0.018540137867201736,0.0886733412881895,0.029419219315029332,0.026093106043636034,0.3269927536231884,0.7904031857234148,0.052189562529911436,0.01595923928864374,0.052189562529911436,0.010538979124094358,0.005311178350076936,0.02450679213490702,0.006508284949285803,3,3,3,3,3,3,3
Standard Dynamic GRL,Effusion,0.023656868076823965,0.006327317647118833,0.02372753426091617,0.008439113942734265,0.0099799368661094,0.6240757172434191,0.8685721783527599,0.02122142257379556,0.005796222111311741,0.021128499085394953,0.0010776503066368787,0.003530531729640502,0.009570357697346054,0.002053655670367497,3,3,3,3,3,3,3
Standard Dynamic GRL,Infiltration,0.016355577864059133,0.014772639703000167,0.017054428154035798,0.004503862641549001,0.009312162952701533,0.48585558852621163,0.7009582993410483,0.0049680455803369035,0.0055238755187983005,0.004385758099008538,0.0038484046395870137,0.005033510192098965,0.03167901898490365,0.0025597137251186218,3,3,3,3,3,3,3
Standard Dynamic GRL,Mass,0.021425028691002435,0.011564826177944366,0.021425028691002365,0.007332354036931134,0.007379285108690767,0.3729938925273062,0.8313171504931168,0.011269934816713295,0.006636131419348226,0.011269934816713333,0.0054200068783631416,0.010658682082275654,0.04928184896488836,0.002768915558139522,3,3,3,3,3,3,3
Standard Dynamic GRL,Nodule,0.04755892255892247,0.011255213250288934,0.04755892255892253,0.007688330124181967,0.0114712344193834,0.3634259259259259,0.7597254349571679,0.016584240686949508,0.0013505227494123467,0.016584240686949515,0.004034823966685517,0.010077320217703889,0.05769359574707003,0.010080336436961277,3,3,3,3,3,3,3
Standard Dynamic GRL,Pneumothorax,0.06661354249673174,0.02062564823924627,0.06661354249673176,0.032627329736930964,0.06938800146464116,0.4200298953662182,0.8472585536079217,0.02762981110247256,0.007183571452704161,0.027629811102472496,0.006460856976399827,0.03436049374655407,0.06017718903856703,0.005969319276573502,3,3,3,3,3,3,3
Static GRL,Atelectasis,0.03506815731137853,0.014589969153978866,0.0350681573113786,0.0019459379605541334,0.030786147119356597,0.5192610062893082,0.8059342024933258,0.015191695367073703,0.006707149740651908,0.015191695367073734,0.001443538226758664,0.006538140761254705,0.08861095239338719,0.0017448523007741572,3,3,3,3,3,3,3
Static GRL,Consolidation,0.047564446764610836,0.0111914590714188,0.04756444676461077,0.028552297141036898,0.0315264505146264,0.30978260869565216,0.7933894069568374,0.025201278888933067,0.009646563989111161,0.025201278888933056,0.007700960564698163,0.006887722749757372,0.03469332971414046,0.006405621103463883,3,3,3,3,3,3,3
Static GRL,Effusion,0.014549999522950767,0.005377095780209034,0.014549999522950767,0.005215634725900367,0.018920921798865866,0.6654740437549495,0.8702789312920185,0.008445738823976003,0.0017560282934136646,0.008445738823976003,0.003439820772324491,0.004259821927819561,0.03518143730912257,0.003276548954628865,3,3,3,3,3,3,3
Static GRL,Infiltration,0.02290148335145897,0.023756793298480267,0.029041019183392764,0.0063941135705646,0.010703919590417837,0.5489614243323443,0.7009122024530439,0.02405732395032571,0.009238598856069336,0.018274664526310148,0.003981506423884927,0.011441241111596083,0.06439374253184074,0.0032583985373289266,3,3,3,3,3,3,3
Static GRL,Mass,0.03238010419268763,0.007871676828244266,0.0323801041926876,0.008183237450780733,0.008081141560484367,0.33365674820824537,0.832138505139611,0.0192026261161201,0.006003627932619667,0.019202626116120086,0.0068851526125512505,0.007129707378226385,0.035352296927829624,0.0010407134668888082,3,3,3,3,3,3,3
Static GRL,Nodule,0.058449074074074035,0.014449626554801568,0.058449074074074035,0.0109417144165111,0.01568035970116857,0.3478009259259259,0.7631836384679183,0.019796180326148615,0.004094938661540382,0.019796180326148525,0.006291343135694669,0.01160141990400687,0.011559597427915597,0.007154689069082401,3,3,3,3,3,3,3
Static GRL,Pneumothorax,0.044611282115383566,0.020658611149721767,0.04461128211538353,0.0253832153281387,0.06645718853251827,0.43796711509715996,0.854969182835831,0.023750688099538248,0.005352621800939761,0.02375068809953822,0.011798029697340185,0.03666694190987894,0.02119199832400272,0.00022993352610239736,3,3,3,3,3,3,3
