bootstrap_iteration,model,n_images_in_resample,n_seeds_aggregated,macro_AUROC,macro_AUPRC,mean_FNR_gap,mean_FPR_gap,mean_Equalized_Odds_gap,mean_Worst_group_Recall,mean_AUROC_gap,sex_head_AUROC,sex_head_accuracy
2,Final Dynamic,23357,3,0.8067947006097986,0.31262826261653737,0.05096241570052267,0.014461749429046664,0.05137865611752888,0.4544931061604143,0.01543573808195436,,
3,Baseline,22389,3,0.8074438804328093,0.3015616625510271,0.04838177725929657,0.0207372651481431,0.05101550652609497,0.4393721265040931,0.014158412760961974,,
3,Static GRL,22389,3,0.8080721079612593,0.3019322116910798,0.03850885538779423,0.016776543119693097,0.04227726255257792,0.44505978086985376,0.017013826952943217,0.5514022341821995,0.5935652924799381
3,Standard Dynamic GRL,22389,3,0.8066835793743605,0.302170741684811,0.04929796885942126,0.015539412662395431,0.05165125138309995,0.4343186248998923,0.015805115265780646,0.5477081846626027,0.5786621406345378
3,Final Dynamic,22389,3,0.8102719613105345,0.3071993990327497,0.033831049401508884,0.011961761808654062,0.03637182197461645,0.45855361667908223,0.015111440789405073,,
4,Baseline,22586,3,0.8111650986808012,0.3069359392585473,0.05098732032748287,0.015186316852034164,0.051650824908387884,0.4462894634063564,0.01770609515212281,,
4,Static GRL,22586,3,0.8117682258238146,0.3057071730071424,0.05017661134634874,0.010257469664381997,0.051621029177406484,0.44768767215896327,0.017231879748209143,0.5500242777756982,0.5797396617373595
4,Standard Dynamic GRL,22586,3,0.8100580963943914,0.3014368732364733,0.048258446967668824,0.011224488544537836,0.04899263612647212,0.43675545513573066,0.017233016431157048,0.5525321277690569,0.5676230113049382
4,Final Dynamic,22586,3,0.8132664183171942,0.31232283590828275,0.03878861889505425,0.008804077827147783,0.04095214828251404,0.46128431495580063,0.015996246212261395,,
5,Baseline,21604,3,0.8084787896812506,0.29995573229227057,0.05190973696650759,0.015279525432643748,0.052793758097056644,0.4334608060405021,0.03222263438565183,,
5,Static GRL,21604,3,0.8095362506189444,0.3004344951186961,0.05572898540208099,0.011086426157159145,0.05641598462977208,0.43434334819207443,0.027780720873902195,0.5560536501559424,0.5741220761587361
5,Standard Dynamic GRL,21604,3,0.8066471425780749,0.29921614924621265,0.06480000706399076,0.011398644485564735,0.06520590516916741,0.4225251363392342,0.030934126277037333,0.5583416407185499,0.5652502622971055
5,Final Dynamic,21604,3,0.8101840826108232,0.30420145218692024,0.04687771414401842,0.012884779626706713,0.04687771414401842,0.4428855927792574,0.030501822097273118,,
6,Baseline,21855,3,0.806649683007098,0.2995191866775079,0.04632442466772385,0.015350570001517702,0.047988922127433616,0.43339010418023033,0.015462498701333052,,
6,Static GRL,21855,3,0.808001659684986,0.30198822503461314,0.04461892122777103,0.012979366250469351,0.04587658396543659,0.445251515775849,0.012633371975937063,0.5428872887938714,0.5818958285670709
6,Standard Dynamic GRL,21855,3,0.8056574892527162,0.2975152565074493,0.05316723796666961,0.011435783544253106,0.05541438216799532,0.4271976704322285,0.015060302679906662,0.5509559080705505,0.5724548158316175
6,Final Dynamic,21855,3,0.8089765661876441,0.3046244362083417,0.03239384290030466,0.008515494042311748,0.03390297840041271,0.45292917899907054,0.013656732348339492,,
7,Baseline,22188,3,0.8051836875429054,0.3000755805193783,0.05586508341571083,0.02120285965082259,0.05691405239323788,0.4398888364189146,0.01449903275212624,,
7,Static GRL,22188,3,0.8065978485674138,0.29976727239128853,0.040271858655413044,0.013831311408299041,0.04138073503418402,0.4510483035203025,0.011890228085242068,0.5459575760846236,0.5941800372573763
7,Standard Dynamic GRL,22188,3,0.805384344832377,0.30004427263459105,0.05121285567180606,0.015554673005950736,0.05186064244527493,0.44269879334711887,0.013164293041079779,0.5563921026284128,0.587134186647437
7,Final Dynamic,22188,3,0.8077593386867564,0.30316304160896407,0.028104700004592864,0.011851011005643106,0.029597525482354833,0.46155627292455037,0.012244092059164066,,
8,Baseline,22161,3,0.8091131930914023,0.30428815763958333,0.05247035004161565,0.019547706640186433,0.05428015604125449,0.4377259477054564,0.020997739764278555,,
8,Static GRL,22161,3,0.8104811471046531,0.3063811674122505,0.04372442377564257,0.01681859698267629,0.046267423722122426,0.4478676727252084,0.019183749210321722,0.547895860411595,0.5824646902215603
8,Standard Dynamic GRL,22161,3,0.807875937375624,0.3029903007745652,0.04984817889949598,0.016894354386762418,0.05046504551289801,0.4387231203856971,0.020548335144523876,0.5483256552976754,0.5719808071236256
