model,group,label,support_mean,positive_support_mean,negative_support_mean,AUROC_mean,AUPRC_mean,TPR_mean,Recall_mean,FNR_mean,TNR_mean,Specificity_mean,FPR_mean,support_std,positive_support_std,negative_support_std,AUROC_std,AUPRC_std,TPR_std,Recall_std,FNR_std,TNR_std,Specificity_std,FPR_std,support_n_seeds,positive_support_n_seeds,negative_support_n_seeds,AUROC_n_seeds,AUPRC_n_seeds,TPR_n_seeds,Recall_n_seeds,FNR_n_seeds,TNR_n_seeds,Specificity_n_seeds,FPR_n_seeds
Final Dynamic,Female,Mass,9553.0,423.0,9130.0,0.8409504771719588,0.2954603739218465,0.38534278959810875,0.38534278959810875,0.6146572104018913,0.9634538152610442,0.9634538152610442,0.0365461847389558,0.0,0.0,0.0,0.0018482412090756021,0.014614802236957351,0.04656670355459153,0.04656670355459153,0.04656670355459148,0.007604449114933422,0.007604449114933422,0.007604449114933627,3,3,3,3,3,3,3,3,3,3,3
Final Dynamic,Female,Nodule,9553.0,576.0,8977.0,0.7661666040065352,0.23920496499954103,0.3524305555555556,0.3524305555555556,0.6475694444444445,0.9356874976792544,0.9356874976792544,0.06431250232074553,0.0,0.0,0.0,0.013188824894458101,0.0020128689635054435,0.03168105484530324,0.03168105484530324,0.03168105484530323,0.010591585998186508,0.010591585998186508,0.010591585998186511,3,3,3,3,3,3,3,3,3,3,3
Final Dynamic,Female,Pneumothorax,9553.0,574.0,8979.0,0.8540990081515535,0.3505145863814967,0.5156794425087108,0.5156794425087108,0.48432055749128916,0.9375580057170434,0.9375580057170434,0.062441994282956464,0.0,0.0,0.0,0.005214295528177556,0.020320465649804866,0.06740607011203173,0.06740607011203173,0.06740607011203174,0.01705479637812477,0.01705479637812477,0.017054796378124723,3,3,3,3,3,3,3,3,3,3,3
Final Dynamic,Male,Atelectasis,12741.0,1359.0,11382.0,0.8124022641466823,0.35925423189393396,0.5371596762325239,0.5371596762325239,0.4628403237674761,0.8703508463656066,0.8703508463656066,0.12964915363439347,0.0,0.0,0.0,0.001388650407669262,0.003548880981937401,0.03133137432824687,0.03133137432824687,0.03133137432824692,0.016300524228859612,0.016300524228859612,0.01630052422885965,3,3,3,3,3,3,3,3,3,3,3
Final Dynamic,Male,Consolidation,12741.0,583.0,12158.0,0.8216242242529771,0.1644411388961674,0.3996569468267581,0.3996569468267581,0.6003430531732419,0.913116192356199,0.913116192356199,0.08688380764380099,0.0,0.0,0.0,0.0029942282404116062,0.004174037626565292,0.043291353221694535,0.043291353221694535,0.043291353221694556,0.013910123975125397,0.013910123975125397,0.013910123975125284,3,3,3,3,3,3,3,3,3,3,3
Final Dynamic,Male,Effusion,12741.0,1426.0,11315.0,0.8767235361550334,0.4814441776383476,0.592332865825152,0.592332865825152,0.40766713417484796,0.9087052585064074,0.9087052585064074,0.0912947414935925,0.0,0.0,0.0,0.0009318689492258831,0.0028952661763731605,0.043840578152199765,0.043840578152199765,0.043840578152199695,0.012904133770317308,0.012904133770317308,0.012904133770317273,3,3,3,3,3,3,3,3,3,3,3
Final Dynamic,Male,Infiltration,12741.0,2412.0,10329.0,0.7098135520480664,0.35420757500855116,0.5860972913211718,0.5860972913211718,0.41390270867882806,0.7126859650821311,0.7126859650821311,0.2873140349178687,0.0,0.0,0.0,0.0010846564362639198,0.0004513963335264538,0.04505230324130198,0.04505230324130198,0.04505230324130191,0.04365524210327235,0.04365524210327235,0.0436552421032724,3,3,3,3,3,3,3,3,3,3,3
Final Dynamic,Male,Mass,12741.0,653.0,12088.0,0.8308324034500779,0.30238768152679035,0.4042879019908116,0.4042879019908116,0.5957120980091885,0.9556309287447607,0.9556309287447607,0.04436907125523929,0.0,0.0,0.0,0.002283820103408807,0.0003231026741137068,0.0451176718611217,0.0451176718611217,0.04511767186112168,0.01005131890594334,0.01005131890594334,0.010051318905943461,3,3,3,3,3,3,3,3,3,3,3
Final Dynamic,Male,Nodule,12741.0,704.0,12037.0,0.7742916175756065,0.21928724745580178,0.38304924242424243,0.38304924242424243,0.6169507575757576,0.9312674808230179,0.9312674808230179,0.06873251917698203,0.0,0.0,0.0,0.0014550824445360665,0.0020556564810339907,0.026738272544499033,0.026738272544499033,0.026738272544499023,0.011688322317072886,0.011688322317072886,0.01168832231707281,3,3,3,3,3,3,3,3,3,3,3
Final Dynamic,Male,Pneumothorax,12741.0,446.0,12295.0,0.8788150784981318,0.2690257781941747,0.4588938714499253,0.4588938714499253,0.5411061285500748,0.9586281686322353,0.9586281686322353,0.04137183136776467,0.0,0.0,0.0,0.006423767176517233,0.008264687659735918,0.08128640233121463,0.08128640233121463,0.0812864023312146,0.013798582235391621,0.013798582235391621,0.01379858223539158,3,3,3,3,3,3,3,3,3,3,3
Standard Dynamic GRL,Female,Atelectasis,9553.0,848.0,8705.0,0.8059035416644088,0.3156968402745626,0.4775943396226415,0.4775943396226415,0.5224056603773585,0.8904461037717787,0.8904461037717787,0.10955389622822126,0.0,0.0,0.0,0.0016009935485447923,0.007204780569595982,0.04220643907588036,0.04220643907588036,0.0422064390758804,0.011636220964616906,0.011636220964616906,0.011636220964616886,3,3,3,3,3,3,3,3,3,3,3
Standard Dynamic GRL,Female,Consolidation,9553.0,368.0,9185.0,0.7904031857234148,0.12981836590357254,0.3269927536231884,0.3269927536231884,0.6730072463768116,0.9214298675376519,0.9214298675376519,0.078570132462348,0.0,0.0,0.0,0.006508284949285803,0.0070652979721721465,0.02450679213490702,0.02450679213490702,0.024506792134907005,0.007503828195121936,0.007503828195121936,0.007503828195121849,3,3,3,3,3,3,3,3,3,3,3
Standard Dynamic GRL,Female,Effusion,9553.0,1127.0,8426.0,0.8685721783527599,0.4995121476062092,0.6240757172434191,0.6240757172434191,0.3759242827565809,0.8956009177941292,0.8956009177941292,0.10439908220587067,0.0,0.0,0.0,0.002053655670367497,0.0020921690817599548,0.009570357697346054,0.009570357697346054,0.009570357697345974,0.002377558224751459,0.002377558224751459,0.002377558224751411,3,3,3,3,3,3,3,3,3,3,3
Standard Dynamic GRL,Female,Infiltration,9553.0,1685.0,7868.0,0.7032549052441445,0.3409117862241425,0.48585558852621163,0.48585558852621163,0.5141444114737883,0.7977461447212337,0.7977461447212337,0.20225385527876627,0.0,0.0,0.0,0.006187933721796836,0.0020478404728484063,0.03167901898490365,0.03167901898490365,0.03167901898490364,0.033316495876256104,0.033316495876256104,0.03331649587625612,3,3,3,3,3,3,3,3,3,3,3
Standard Dynamic GRL,Female,Mass,9553.0,423.0,9130.0,0.838649504530048,0.29909733611179795,0.375886524822695,0.375886524822695,0.624113475177305,0.9698430083972251,0.9698430083972251,0.030156991602774668,0.0,0.0,0.0,0.0067785337772441326,0.0062107736250359554,0.04510350834122675,0.04510350834122675,0.04510350834122672,0.008636371160548191,0.008636371160548191,0.008636371160548292,3,3,3,3,3,3,3,3,3,3,3
Standard Dynamic GRL,Female,Nodule,9553.0,576.0,8977.0,0.7637943185053161,0.23353131807888927,0.3634259259259259,0.3634259259259259,0.6365740740740741,0.9282611117299765,0.9282611117299765,0.07173888827002334,0.0,0.0,0.0,0.003103984714642876,0.004349735611770385,0.05769359574707003,0.05769359574707003,0.05769359574707005,0.02165122672768011,0.02165122672768011,0.02165122672768019,3,3,3,3,3,3,3,3,3,3,3
Standard Dynamic GRL,Female,Pneumothorax,9553.0,574.0,8979.0,0.8472585536079217,0.32754715196167156,0.48664343786295,0.48664343786295,0.5133565621370498,0.9431265545532167,0.9431265545532167,0.05687344544678321,0.0,0.0,0.0,0.005969319276573502,0.02498022471780451,0.051159429707867694,0.051159429707867694,0.05115942970786769,0.008927989128274375,0.008927989128274375,0.008927989128274366,3,3,3,3,3,3,3,3,3,3,3
Standard Dynamic GRL,Male,Atelectasis,12741.0,1359.0,11382.0,0.8068018055351373,0.3542016304167484,0.5302918812852587,0.5302918812852587,0.4697081187147412,0.8709951385228138,0.8709951385228138,0.12900486147718618,0.0,0.0,0.0,0.0015917622671470111,0.0056967732243224465,0.03781028252971064,0.03781028252971064,0.037810282529710575,0.021900157602272725,0.021900157602272725,0.02190015760227268,3,3,3,3,3,3,3,3,3,3,3
Standard Dynamic GRL,Male,Consolidation,12741.0,583.0,12158.0,0.8198224050384443,0.15591147194720867,0.41566609491137796,0.41566609491137796,0.5843339050886222,0.9028897296704502,0.9028897296704502,0.09711027032954979,0.0,0.0,0.0,0.00438428218925856,0.005914442302083785,0.033319159026491636,0.033319159026491636,0.033319159026491685,0.01622571405916159,0.01622571405916159,0.016225714059161518,3,3,3,3,3,3,3,3,3,3,3
Standard Dynamic GRL,Male,Effusion,12741.0,1426.0,11315.0,0.8770112922954941,0.48953221074009984,0.647732585320243,0.647732585320243,0.35226741467975686,0.8935336573869495,0.8935336573869495,0.1064663426130505,0.0,0.0,0.0,0.0013375532413372356,0.003873538656044936,0.01347689135614739,0.01347689135614739,0.013476891356147349,0.007057729357197562,0.007057729357197562,0.0070577293571975055,3,3,3,3,3,3,3,3,3,3,3
Standard Dynamic GRL,Male,Infiltration,12741.0,2412.0,10329.0,0.7031655560795008,0.35022394917684413,0.5022111663902709,0.5022111663902709,0.49778883360972914,0.7829735050182335,0.7829735050182335,0.2170264949817665,0.0,0.0,0.0,0.004844386005549103,0.0031563655738176336,0.027000630112594782,0.027000630112594782,0.027000630112594824,0.030448880987404874,0.030448880987404874,0.0304488809874048,3,3,3,3,3,3,3,3,3,3,3
Standard Dynamic GRL,Male,Mass,12741.0,653.0,12088.0,0.8313171504931168,0.29292155271362347,0.39152628892291985,0.39152628892291985,0.6084737110770801,0.9582781822192808,0.9582781822192808,0.04172181778071913,0.0,0.0,0.0,0.002768915558139522,0.008320632064477557,0.06258761360864835,0.06258761360864835,0.06258761360864842,0.01213697348607688,0.01213697348607688,0.01213697348607694,3,3,3,3,3,3,3,3,3,3,3
Standard Dynamic GRL,Male,Nodule,12741.0,704.0,12037.0,0.7633448815332019,0.22235030779533305,0.41098484848484845,0.41098484848484845,0.5890151515151515,0.9170058984796876,0.9170058984796876,0.08299410152031234,0.0,0.0,0.0,0.013302677105579854,0.006219067131183752,0.042384167523739774,0.042384167523739774,0.042384167523739844,0.022672004082367195,0.022672004082367195,0.022672004082367154,3,3,3,3,3,3,3,3,3,3,3
Standard Dynamic GRL,Male,Pneumothorax,12741.0,446.0,12295.0,0.8798858833448526,0.2581591504970304,0.4200298953662182,0.4200298953662182,0.5799701046337817,0.9637522027924631,0.9637522027924631,0.03624779720753687,0.0,0.0,0.0,0.005217460856938888,0.01343520656814612,0.06017718903856703,0.06017718903856703,0.06017718903856701,0.00948693795311534,0.00948693795311534,0.009486937953115341,3,3,3,3,3,3,3,3,3,3,3
Static GRL,Female,Atelectasis,9553.0,848.0,8705.0,0.8059342024933258,0.3213615678248454,0.5192610062893082,0.5192610062893082,0.4807389937106918,0.869155657668007,0.869155657668007,0.13084434233199307,0.0,0.0,0.0,0.0017448523007741572,0.007541645929445282,0.08861095239338719,0.08861095239338719,0.08861095239338719,0.04350726882132585,0.04350726882132585,0.043507268821325724,3,3,3,3,3,3,3,3,3,3,3
Static GRL,Female,Consolidation,9553.0,368.0,9185.0,0.7933894069568374,0.13115126274664993,0.30978260869565216,0.30978260869565216,0.6902173913043478,0.9340954454726909,0.9340954454726909,0.06590455452730896,0.0,0.0,0.0,0.006405621103463883,0.005998476742004397,0.03469332971414046,0.03469332971414046,0.034693329714140485,0.008440537790969375,0.008440537790969375,0.008440537790969323,3,3,3,3,3,3,3,3,3,3,3
Static GRL,Female,Effusion,9553.0,1127.0,8426.0,0.8702789312920185,0.5015128818441763,0.6722863058266785,0.6722863058266785,0.32771369417332147,0.8743571485085845,0.8743571485085845,0.1256428514914154,0.0,0.0,0.0,0.003276548954628865,0.007875764413750683,0.042241368259122086,0.042241368259122086,0.04224136825912209,0.013845636516225147,0.013845636516225147,0.01384563651622512,3,3,3,3,3,3,3,3,3,3,3
Static GRL,Female,Infiltration,9553.0,1685.0,7868.0,0.7046792099312243,0.3390676322268944,0.5489614243323443,0.5489614243323443,0.4510385756676558,0.7447042874089137,0.7447042874089137,0.25529571259108624,0.0,0.0,0.0,0.008165530052948221,0.010411539379057495,0.06439374253184074,0.06439374253184074,0.06439374253184077,0.05226215738978199,0.05226215738978199,0.052262157389781974,3,3,3,3,3,3,3,3,3,3,3
Static GRL,Female,Mass,9553.0,423.0,9130.0,0.8403217425903916,0.29564058328872783,0.3459416863672183,0.3459416863672183,0.6540583136327817,0.9708652792990143,0.9708652792990143,0.02913472070098573,0.0,0.0,0.0,0.007765722097946701,0.005303925451779276,0.0558607048020403,0.0558607048020403,0.05586070480204031,0.008825756148049565,0.008825756148049565,0.008825756148049637,3,3,3,3,3,3,3,3,3,3,3
Static GRL,Female,Nodule,9553.0,576.0,8977.0,0.7651688445574907,0.2346049835787359,0.3478009259259259,0.3478009259259259,0.6521990740740741,0.9382124689020088,0.9382124689020088,0.06178753109799113,0.0,0.0,0.0,0.008943115476892392,0.013390925445513093,0.011559597427915597,0.011559597427915597,0.011559597427915664,0.003423193388732927,0.003423193388732927,0.0034231933887329345,3,3,3,3,3,3,3,3,3,3,3
Static GRL,Female,Pneumothorax,9553.0,574.0,8979.0,0.854969182835831,0.338303543101639,0.48257839721254353,0.48257839721254353,0.5174216027874564,0.9429038125997699,0.9429038125997699,0.05709618740023014,0.0,0.0,0.0,0.00022993352610239736,0.016466900560789737,0.004609322841575951,0.004609322841575951,0.004609322841575956,0.007534913975939825,0.007534913975939825,0.007534913975939908,3,3,3,3,3,3,3,3,3,3,3
Static GRL,Male,Atelectasis,12741.0,1359.0,11382.0,0.8078801404538801,0.352147714944202,0.5543291636006867,0.5543291636006867,0.4456708363993132,0.854565688514028,0.854565688514028,0.14543431148597197,0.0,0.0,0.0,0.00031138653298168524,0.001283733363574679,0.07795802373866723,0.07795802373866723,0.07795802373866725,0.03975809265819612,0.03975809265819612,0.03975809265819616,3,3,3,3,3,3,3,3,3,3,3
Static GRL,Male,Consolidation,12741.0,583.0,12158.0,0.8219417040978744,0.16267771326127634,0.35734705546026296,0.35734705546026296,0.642652944539737,0.9229039864012721,0.9229039864012721,0.0770960135987278,0.0,0.0,0.0,0.0013922791953815238,0.0027047057756769783,0.04387639803990774,0.04387639803990774,0.043876398039907755,0.010659068307557062,0.010659068307557062,0.010659068307557076,3,3,3,3,3,3,3,3,3,3,3
Static GRL,Male,Effusion,12741.0,1426.0,11315.0,0.875494566017919,0.48259196004531035,0.6732117812061711,0.6732117812061711,0.3267882187938289,0.8772720577404626,0.8772720577404626,0.12272794225953743,0.0,0.0,0.0,0.005852927432846548,0.010295427954230775,0.025196695965247803,0.025196695965247803,0.02519669596524779,0.015015030106344035,0.015015030106344035,0.015015030106344064,3,3,3,3,3,3,3,3,3,3,3
Static GRL,Male,Infiltration,12741.0,2412.0,10329.0,0.7035393085454281,0.34976359432950543,0.5718629076838032,0.5718629076838032,0.42813709231619673,0.7209474941104334,0.7209474941104334,0.27905250588956654,0.0,0.0,0.0,0.004339541361816328,0.0048075823244464,0.0438300907220123,0.0438300907220123,0.04383009072201234,0.04635572105318463,0.04635572105318463,0.04635572105318465,3,3,3,3,3,3,3,3,3,3,3
Static GRL,Male,Mass,12741.0,653.0,12088.0,0.832138505139611,0.293213471999185,0.3537519142419601,0.3537519142419601,0.6462480857580398,0.9629936024707698,0.9629936024707698,0.03700639752923004,0.0,0.0,0.0,0.0010407134668888082,0.011273603813002925,0.03451585809979984,0.03451585809979984,0.034515858099799845,0.004137436429188348,0.004137436429188348,0.004137436429188405,3,3,3,3,3,3,3,3,3,3,3
Static GRL,Male,Nodule,12741.0,704.0,12037.0,0.7721401467948571,0.2238770665107459,0.40625,0.40625,0.59375,0.9237628423472072,0.9237628423472072,0.07623715765279272,0.0,0.0,0.0,0.0057060349561503495,0.007367549394930786,0.018629086716767062,0.018629086716767062,0.01862908671676704,0.007335453004141768,0.007335453004141768,0.00733545300414179,3,3,3,3,3,3,3,3,3,3,3
Static GRL,Male,Pneumothorax,12741.0,446.0,12295.0,0.8803523981639697,0.2718463545691206,0.43796711509715996,0.43796711509715996,0.5620328849028401,0.9635624237494916,0.9635624237494916,0.03643757625050827,0.0,0.0,0.0,0.011599845695749345,0.0407790358364271,0.02119199832400272,0.02119199832400272,0.02119199832400274,0.008134607472563518,0.008134607472563518,0.008134607472563553,3,3,3,3,3,3,3,3,3,3,3
