model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,group,model
r50_static_grl,42,Pneumothorax,12741,446,12295,0.8799999999999999,0.8921605815189739,0.306608903396191,0.42152466367713,0.42152466367713,0.57847533632287,0.969499796665311,0.969499796665311,0.0305002033346888,188,375,11920,258,Male,Static GRL
r50_static_grl,42,Consolidation,9553,368,9185,0.7899999999999999,0.8007269058720503,0.1372582262279366,0.3478260869565217,0.3478260869565217,0.6521739130434783,0.9343494828524768,0.9343494828524768,0.0656505171475231,128,603,8582,240,Female,Static GRL
r50_static_grl,42,Consolidation,12741,583,12158,0.7899999999999999,0.8203997565501909,0.1637876102132558,0.3876500857632933,0.3876500857632933,0.6123499142367067,0.9124856061852278,0.9124856061852278,0.0875143938147721,226,1064,11094,357,Male,Static GRL
r50_static_grl,123,Infiltration,9553,1685,7868,0.58,0.6993273659295286,0.331162992504503,0.4902077151335312,0.4902077151335312,0.5097922848664689,0.7951194712760549,0.7951194712760549,0.2048805287239451,826,1612,6256,859,Female,Static GRL
r50_static_grl,123,Infiltration,12741,2412,10329,0.58,0.7072086842066814,0.3539332547373209,0.5402155887230514,0.5402155887230514,0.4597844112769486,0.7609642753412722,0.7609642753412722,0.2390357246587278,1303,2469,7860,1109,Male,Static GRL
r50_static_grl,123,Effusion,9553,1127,8426,0.62,0.8734767170782286,0.5065233364547265,0.7160603371783496,0.7160603371783496,0.2839396628216504,0.859363873724187,0.859363873724187,0.1406361262758129,807,1185,7241,320,Female,Static GRL
r50_static_grl,123,Effusion,12741,1426,11315,0.62,0.8786180701931616,0.4848565527404119,0.7019635343618513,0.7019635343618513,0.2980364656381487,0.8646045072912064,0.8646045072912064,0.1353954927087936,1001,1532,9783,425,Male,Static GRL
r50_static_grl,123,Atelectasis,9553,848,8705,0.69,0.8077459007510321,0.3296579439021992,0.5129716981132075,0.5129716981132075,0.4870283018867924,0.8815623205054567,0.8815623205054567,0.1184376794945433,435,1031,7674,413,Female,Static GRL
r50_static_grl,123,Atelectasis,12741,1359,11382,0.69,0.8081587454158994,0.3530372072864735,0.5371596762325239,0.5371596762325239,0.4628403237674761,0.8598664558074152,0.8598664558074152,0.1401335441925847,730,1595,9787,629,Male,Static GRL
r50_static_grl,123,Nodule,9553,576,8977,0.6749999999999999,0.7684750690035028,0.2400145580066301,0.3402777777777778,0.3402777777777778,0.6597222222222222,0.941851398017155,0.941851398017155,0.058148601982845,196,522,8455,380,Female,Static GRL
r50_static_grl,123,Nodule,12741,704,12037,0.6749999999999999,0.7773343389133505,0.2293475561780099,0.3863636363636363,0.3863636363636363,0.6136363636363636,0.9321259450029076,0.9321259450029076,0.0678740549970923,272,817,11220,432,Male,Static GRL
r50_static_grl,123,Mass,9553,423,9130,0.8599999999999999,0.831733898844896,0.2896511907420151,0.408983451536643,0.408983451536643,0.5910165484633569,0.9611171960569552,0.9611171960569552,0.0388828039430449,173,355,8775,250,Female,Static GRL
r50_static_grl,123,Mass,12741,653,12088,0.8599999999999999,0.8309693944255653,0.2888912920678415,0.3721286370597244,0.3721286370597244,0.6278713629402757,0.9601257445400396,0.9601257445400396,0.0398742554599602,243,482,11606,410,Male,Static GRL
r50_static_grl,123,Pneumothorax,9553,574,8979,0.7849999999999999,0.8551121800655266,0.3234143667595957,0.4878048780487805,0.4878048780487805,0.5121951219512195,0.9400824145227754,0.9400824145227754,0.0599175854772246,280,538,8441,294,Female,Static GRL
r50_static_grl,123,Pneumothorax,12741,446,12295,0.7849999999999999,0.8799238452322119,0.2819715096409397,0.4304932735426009,0.4304932735426009,0.5695067264573991,0.9668971126474176,0.9668971126474176,0.0331028873525823,192,407,11888,254,Male,Static GRL
r50_static_grl,123,Consolidation,9553,368,9185,0.7849999999999999,0.7905286265413837,0.1309280585547712,0.2798913043478261,0.2798913043478261,0.720108695652174,0.9424060968971149,0.9424060968971149,0.0575939031028851,103,529,8656,265,Female,Static GRL
r50_static_grl,123,Consolidation,12741,583,12158,0.7849999999999999,0.8231066825392481,0.159594617261907,0.307032590051458,0.307032590051458,0.692967409948542,0.9337884520480342,0.9337884520480342,0.0662115479519657,179,805,11353,404,Male,Static GRL
r50_static_grl,2026,Infiltration,9553,1685,7868,0.4849999999999999,0.7140777954951054,0.3508645461111138,0.6178041543026707,0.6178041543026707,0.3821958456973294,0.6907727503812913,0.6907727503812913,0.3092272496187087,1041,2433,5435,644,Female,Static GRL
r50_static_grl,2026,Infiltration,12741,2412,10329,0.4849999999999999,0.7046598501345532,0.3508526098794035,0.6218905472636815,0.6218905472636815,0.3781094527363184,0.6701519992254816,0.6701519992254816,0.3298480007745183,1500,3407,6922,912,Male,Static GRL
r50_static_grl,2026,Effusion,9553,1127,8426,0.6599999999999999,0.8704311516451697,0.5055802623582993,0.6317657497781721,0.6317657497781721,0.3682342502218279,0.886660337051982,0.886660337051982,0.113339662948018,712,955,7471,415,Female,Static GRL
r50_static_grl,2026,Effusion,12741,1426,11315,0.6599999999999999,0.8791231463651806,0.4915665698368669,0.6549789621318373,0.6549789621318373,0.3450210378681627,0.8938577110030932,0.8938577110030932,0.1061422889969067,934,1201,10114,492,Male,Static GRL
r50_static_grl,2026,Atelectasis,9553,848,8705,0.6599999999999999,0.8042649258179532,0.3149212124030021,0.4339622641509434,0.4339622641509434,0.5660377358490566,0.9051120045950604,0.9051120045950604,0.0948879954049397,368,826,7879,480,Female,Static GRL
r50_static_grl,2026,Atelectasis,12741,1359,11382,0.6599999999999999,0.8075439978619275,0.3506760442974912,0.4863870493009566,0.4863870493009566,0.5136129506990434,0.8914074855034264,0.8914074855034264,0.1085925144965735,661,1236,10146,698,Male,Static GRL
